"Row.names","hypermean","nothypermean","ttest_pval","log2_hyper_v_nothyper","wilcox_pval","cohens","deseq_pval","deseq_log2","epi_04_um_300s_pval","epi_04um_300s_spearman","epi_04_um_300s_HYPER_pval","epi_04um_300s_HYPER_spearman","overlapgroup","GOIup","GOIdown"
"PRXL2B",940.216273495915,724.094479182986,0.0950742416708231,0.376814700155505,0.128957786536746,0.621760453072674,0.0236510986595877,0.396736390145729,0.296458038160146,0.115263075555804,0.221918475463106,0.116328204818988,"deseq_sig",NA,NA
"PSAP",59667.6341492713,47745.6424388639,0.0146353791276383,0.321579504537155,0.0176174153815384,0.669577215014075,0.0691104496432209,0.278160274388399,0.00356089746333125,0.314610762253951,0.00408280694041169,0.269337667362307,"wilcox_sig;epicorrALL_sig",NA,NA
"PSD4",69.1793453526836,90.7440056382269,0.396125676347646,-0.391460983312257,0.684502644219725,0.186273714724386,0.0300129602125614,-1.01679081065873,0.999416228374779,-8.10438507250539e-05,0.507843130643763,0.0632185885725007,"deseq_sig",NA,NA
"PSMA4",140.046321978095,196.430280743807,0.117666717722295,-0.488113251138188,0.991469402154499,0.264737750397527,0.0446530379867981,-0.642206596295428,0.821272007684972,0.0250197553935175,0.724217309996667,0.0337077944846235,"deseq_sig",NA,NA
"PSMA5",109.040568371064,140.038779768862,0.149502376022358,-0.360961408692402,0.622847134975783,0.289945094168963,0.0162445273386786,-0.63711148166742,0.874143003420155,-0.017544217142337,0.727305747863549,0.0333147504931678,"deseq_sig",NA,NA
"PSMB1",268.261985661954,379.365535359277,0.00543258353976111,-0.499945988078005,0.0871410121560943,0.519541026477293,0.00116455640257456,-0.648712289770691,0.514787629323234,-0.0720609473155803,0.939703132430266,-0.00722859166894587,"deseq_sig",NA,NA
"PSMB6",146.336115370042,188.270545450664,0.126106157769519,-0.363521444081524,0.304700549129135,0.319891880590192,0.0163079370115299,-0.620357145532276,0.68551588063157,0.0448329705958334,0.439211358370405,0.0738196426995956,"deseq_sig",NA,NA
"PSMB7",116.378088737645,125.800196847982,0.669611154307879,-0.112314721498727,0.600351985651704,0.118160761904213,0.0112348533275293,-0.523292423910052,0.769885985243851,0.032393999088449,0.368921553685115,0.0857049512238316,"deseq_sig",NA,NA
"PSMB9",1482.06306046141,1787.32361291844,0.00829336950039847,-0.270194038141914,0.0974756108857386,0.512457556623766,0.0211636447187603,-0.31106352660224,0.045333801515422,-0.21900896006609,0.24779676455286,-0.110107856432472,"deseq_sig",NA,NA
"BARD1",470.029070131337,473.522600239078,0.959043606844683,-0.01068329748382,0.363457597197972,0.0178836748649084,0.601742303497187,-0.080689562042683,0.340653314399304,-0.105255173398397,0.136006582335244,-0.141747897744654,NA,NA,NA
